bid_id,title,biz_div,title_len
20161105781_004,로봇페인팅서비스,servc,8
20170526806_008,체험활동서비스외 3종,servc,11
20170610413_012,사무환경기기임대서비스외 1종,servc,15
20170829686_004,원거리교육서비스외 1종,servc,12
20170829776_004,조경관리서비스,servc,7
20170927920_008,무인기활용서비스외 3종,servc,12
20180631534_006,RFID음식물쓰레기종량기임대서비스,servc,18
20180700157_006,전자태그재물조사서비스,servc,11
20190116681_007,번역서비스,servc,5
20190637220_004,안마의자임대서비스,servc,9
20191016128_005,가축매몰지복원서비스,servc,10
20191241698_004,음식물쓰레기처리기임대서비스,servc,14
20200923222_004,기타청소서비스,servc,7
20210124380_003,무정전전원장치(UPS)임대서비스,servc,17
20210207003_002,화초류임대서비스외 1종,servc,12
20210634522_001,사무환경기기임대서비스,servc,11
20210642419_003,사무용기기임대서비스,servc,10
20240822351_002,제설장비임대서비스,servc,9
R25BK01069787_001,"전지,발전기및동력전달장치 임대서비스외 1종",servc,23
R25BK01069787_002,"전지,발전기및동력전달장치 임대서비스",servc,19
R25BK01173175_001,교양교육서비스,servc,7
R25BK01219125_000,2026년 (주)강원랜드 기계설비 성능점검 용역,servc,26
R25BK01236061_000,2026년도 방송통신중·고등학교 관계자 글로벌 역량 강화 연수 운영 용역,servc,40
R25BK01236359_000,2026년 정보시스템 통합 유지관리 및 운영,servc,24
R25BK01237620_000,2026년 전남권역 사회적기업 창업·경영지원 전문기관 운영 용역,servc,35
R25BK01237702_000,2026년 국가형사사법기록관시스템 유지관리 사업,servc,26
R25BK01238047_000,2026년 소상공인 마이데이터 운영 및 유지관리,servc,26
R25BK01239108_001,개인서비스용로봇 임대서비스,servc,14
R25BK01241102_001,2026년 시각장애인용 데이지자료 제작 및 운영 사업,servc,29
R25BK01241227_001,충청남도인재개발원 사이버교육 위탁운영,servc,20
R25BK01243058_001,5차년도 빅데이터AI플랫폼 아이톡톡 구축 용역,servc,25
R25BK01243770_000,2026년 정보공개시스템 운영·유지관리,servc,21
R25BK01243918_000,2026년도 외교부 부내 외국어 교육과정,servc,22
R25BK01246502_000,2026년 층간소음 방문상담·소음측정,servc,20
R25BK01247607_000,(가칭)서사중학교 신축공사 감독권한대행 등 건설사업관리용역,servc,32
R25BK01247879_000,2026년 장애인고용패널조사 3차 코호트 2차년도 본조사 용역,servc,34
R25BK01248615_000,RISE사업 산학연협력 성과관리시스템 개발,servc,23
R25BK01249943_001,2026년 경찰차량 위탁관리 용역,servc,18
R25BK01251249_001,2026년 비료 시험연구기관 이화학적분석 정도관리 용역,servc,30
R25BK01251263_000,2026년 실내공기질 측정망 운영관리 용역,servc,23
R25BK01251449_000,2026년 정책도움e 운영 및 유지관리,servc,21
R25BK01252120_000,2026년 국회방송 패쇄자막방송 속기용역,servc,22
R25BK01252689_000,2026년 정기간행물 저작권 문화 발간,servc,21
R25BK01252985_000,개인정보 처리방침 평가 지원 및 컨설팅,servc,21
R25BK01253139_000,2026학년도 한국교원대학교부설유치원 통학버스 임차,servc,28
R25BK01253653_000,2025년 광주시 지능형교통체계(ITS) 확장 구축사업,servc,30
R25BK01253905_000,2026년 스마트제조혁신 홍보 운영 용역,servc,22
R25BK01253947_000,26년 법무부 주요정보통신기반시설 취약점 분석·평가,servc,28
R25BK01253999_000,경영안정바우처 지원시스템 운영지원,servc,18
R25BK01254004_000,2026년 인천사이버진로교육원 홈페이지플랫폼 유지관리 용역,servc,32
R25BK01254134_000,2026년 보건농림기상 연구관측망 유지관리 용역,servc,26
R25BK01254177_000,2026년 광주권역 사회적기업 창업·경영지원 전문기관 운영 용역,servc,35
R25BK01254532_000,2026년 한국건강증진개발원 정보시스템 통합유지관리,servc,28
R25BK01254826_000,2026년도 광주광역시 버스정보시스템(BIS) 통합 유지보수 및 운영관리 용역,servc,43
R25BK01254915_000,제9회 전국동시지방선거 유·무선통신장비 배부 및 회수,servc,29
R25BK01254992_000,2026년 재난대비훈련 홍보 대행사업,servc,20
R25BK01255040_001,2024년 소하천 스마트계측관리시스템 구축사업,servc,25
R25BK01255073_000,2026 지역문화향유기회 확대를 위한 국악을 국민속으로_사업 운영 대행 용역,servc,42
R25BK01255108_000,행복한백화점 POS시스템 재구축 용역,servc,20
R25BK01255411_000,[정보화] 인체자원분양데스크 및 원격지기탁지원시스템 운영 유지관리,servc,36
R25BK01255476_001,경찰수사연수원 수사교육동 증축사업 건설사업관리용역(감독권한대행),servc,35
R25BK01255549_000,2026년 통합관제센터 정보시스템 유지보수 용역,servc,26
R25BK01255676_000,2026년 데이터 강남 플랫폼 운영 용역,servc,22
R26BK01256180_000,2026 해양 기후변화(해양환경·생태계) 감시·예측 정보 통합 생산,servc,37
R26BK01256187_000,2026년도 국회 출입통제설비 유지보수 용역,servc,24
R26BK01256206_000,2026년 홍성군 상수도종합상황실 및 원격감시시설 유지관리 용역,servc,35
R26BK01256238_000,2026년 교과용도서 수정 보완 사업 계약,servc,23
R26BK01256240_000,2026년 사회적기업 업종특화(친환경·자원순환) 창업지원 전문기관 운영 용역,servc,42
R26BK01256310_000,[정보화] 바이오뱅크 정보관리시스템 운영 유지관리,servc,27
R26BK01256314_000,2026년 경남권역 사회적기업 창업·경영지원 전문기관 운영 용역,servc,35
R26BK01256319_000,2026년~2027년 통계센터 정보통신시스템 위탁관리 사업,servc,32
R26BK01256341_000,행정안전부 PC·네트워크 및 정보보호시스템 유지관리,servc,28
R26BK01256348_000,국가 바이오데이터 사용자 경험 분석 및 개선 기획 연구,servc,30
R26BK01256370_000,2026년 경복궁 광화문 권역 등 경비 용역,servc,24
R26BK01256428_000,2026년 로티즌아카데미 및 어린이로스쿨 운영,servc,25
R26BK01256542_000,2026년 제대군인 전직지원시스템 유지보수 용역,servc,26
R26BK01256550_000,국민참여예산제도 온라인 플랫폼 운영을 위한 클라우드 서비스 제공,servc,35
R26BK01256580_000,2026년 영상통신시스템 유지관리,servc,18
R26BK01256616_000,2026년 지하공간통합지도 수정갱신 사업,servc,22
R26BK01256628_000,공주교대 2026년도 정보시스템(통합) 유지보수용역,servc,28
R26BK01256630_000,2026년 국민비서 서비스 운영 및 유지관리,servc,24
R26BK01256659_000,공공인프라 업무 통합관리 플랫폼 유지관리 및 기능개선 용역,servc,32
R26BK01256660_000,신연초등학교 교사증축 전기공사 감리용역(긴급)(계속비),servc,30
R26BK01256768_000,2026년 평택시 ITS 통합 유지관리용역,servc,23
R26BK01256904_000,2026년 국가재난안전교육원 정보시스템 유지관리,servc,26
R26BK01256922_000,2026년 장애인경제활동실태조사 및 발달장애인 일과 삶 실태조사 용역,servc,38
R26BK01257135_000,2026년 울산권역 사회적기업 창업·경영지원 전문기관 운영 용역,servc,35
R26BK01257360_000,2026년 한국농업기술진흥원 온라인 홍보채널 운영,servc,27
R26BK01257469_000,2026년 국립부산과학관 특별기획 순회전시 ‘창의적 생각도구(가제)’ 연출 및 제작 ·설치 용역,servc,53
R26BK01257473_000,2026년 해양과학기지 유지관리,servc,17
R26BK01257482_000,2026년 수문조사시설 유지보수용역,servc,19
R26BK01257494_000,제46주년 5·18민주화운동 기념식 대행용역,servc,24
R26BK01257533_000,2026~2027년 해양기상관측장비 유지보수·관리용역,servc,29
R26BK01257567_000,26년 원자력안전통합정보시스템(NSIS) 기능 고도화 사업,servc,32
R26BK01257569_000,2026년 홍수위험지도 정보시스템 유지보수,servc,23
R26BK01257573_000,2026년도 미디어교육사 자격제도 운영 사업,servc,24
R26BK01257586_000,전국 땅밀림 우려지 현장조사 및 비상대처계획 매뉴얼 개발 연구용역,servc,36
R26BK01257589_000,산불방지과 2026년 산불 조사 위탁용역,servc,22
R26BK01257593_000,2026년~2027년 나이스 인프라 유지관리,servc,24
R26BK01257636_000,2026년 공공자가망·와이파이 통합유지관리 용역,servc,26
R26BK01257641_000,2026년 전북권역 사회적기업 창업·경영지원 전문기관 운영 용역,servc,35
R26BK01257659_000,26년 방위사업청 온라인/영상홍보 용역,servc,21
R26BK01257736_000,통합콜센터 시스템 유지관리 및 운영위탁 용역,servc,24
R26BK01257757_000,대기질 정보 시스템 통합 유지관리(2026년) 용역,servc,28
R26BK01257764_000,2026년도 국회 뉴미디어 의정홍보 활성화 사업 운영,servc,29
R26BK01257788_000,2026~2028년도 농업기상관측망 유지관리,servc,24
R26BK01257800_000,중앙전파관리소 증축 전기공사 감리용역,servc,20
R26BK01257810_000,2026년 국가통계 이용 활성화 및 홍보 사업,servc,25
R26BK01257832_000,2026년 연속간행물 자료 디지털화 및 지식정보자원 공유기반 구축 사업,servc,39
R26BK01257839_000,2026년도 제품사고조사 사업,servc,16
R26BK01257845_000,2026년 정부조직관리정보시스템 및 정부기능분류시스템 유지관리,servc,34
R26BK01257864_000,2025학년도 한국체육대학교 국립대학육성사업 교육 및 전시공간 조성사업 용역,servc,42
R26BK01257908_000,2026년 실험실 지정폐기물 방문 순환수거 및 위탁처리 용역,servc,33
R26BK01257930_000,국채관리시스템 운영 및 유지관리,servc,17
R26BK01257950_000,2026년 시각장애인용 전자점자도서 제작 사업,servc,25
R26BK01257954_000,누리꿈스퀘어 전산장비 유지관리 용역,servc,19
R26BK01257956_000,2026년 수도권 도시기상관측장비 유지관리 용역,servc,26
R26BK01257960_000,인천경찰청 경찰정보통신망 사업자 선정(4차),servc,24
R26BK01257990_000,2026~2027년 보건복지사이버안전센터 정보시스템 유지관리,servc,33
R26BK01257991_000,사방표준품셈 현장조사 및 체계화 연구,servc,20
R26BK01258009_000,2026년 충청남도교육청 테크센터 운영 사업,servc,24
R26BK01258033_000,2026-2027년 전산자원 통합 유지관리,servc,23
R26BK01258045_000,2026년 해양사고 조사분석실 운영관리 용역,servc,24
R26BK01258053_000,해외공항 공항수용능력 설정 실태조사 연구,servc,22
R26BK01258075_000,(가칭)정관2중학교 교사신축 전기공사 감리용역(계속비),servc,30
R26BK01258300_000,어린이활동공간 안전관리 측정분석 지원사업(장기계속1차/3차),servc,33
R26BK01258308_000,2026학년도 가락초등학교 및 가락병설유치원 통학버스 임차 용역,servc,35
R26BK01258327_000,2026년 소방청 위성전용망 서비스 사업,servc,22
R26BK01258340_000,디지털서비스_이엔유_EduEnuSpace,servc,22
R26BK01258343_000,코리아 나라장터 엑스포 2026 조달홍보관 및 특별전시관 용역,servc,34
R26BK01258345_000,2026년 한국전통문화대학교 정보시스템 통합유지보수,servc,28
R26BK01258412_000,2026년도 표준성과한마당 유지보수 및 디지털 교정성적서 생성시스템 개선,servc,40
R26BK01258422_000,2026년도 소음진동 측정망 운영관리 용역,servc,23
R26BK01258455_000,2026년 상반기 정책여론조사 수행 용역,servc,22
R26BK01258472_000,2026년~2028년도 환경위성(GEMS) 전처리 및 기하보정 소프트웨어 유지관리,servc,45
R26BK01258506_000,(긴급)2026년 테크센터 운영 용역,servc,20
R26BK01258512_000,2026~2027년 정보통신시스템 통합유지관리,servc,25
R26BK01258532_000,2026년 문화체육관광 통계 개발 및 조사 분석,servc,26
R26BK01258580_000,"2026년 실습선(한바다호, 한나라호) 선체보험 가입(갱신)",servc,33
R26BK01258590_000,디지털서비스_넥스트비즈_올리사이트 GOV (OllySite GOV),servc,37
R26BK01258636_000,2026년 DNA 감정장비 유지관리(분석기),servc,24
R26BK01258644_000,2026년도 공공정책정보DB 구축사업,servc,20
R26BK01258651_000,2026년 행정시스템 유지관리 용역,servc,19
R26BK01258699_000,2026년 국가데이터처 인식 제고 및 대국민 소통 강화 용역 사업,servc,36
R26BK01258705_000,2026학년도 좌천초등학교 통학버스 임차 용역 계약 요청,servc,31
R26BK01258877_000,2026~2027년 국립부산과학관 전산장비 및 정보보안시스템 통합 유지관리 용역,servc,44
