정규화,analyzer,ngram,min_df,sublinear,max_features,C,class_weight,피처수,Val_MacroF1
False,char_wb,"(2, 3)",2,False,0,1.0,balanced,9187,0.8715843611056326
False,char_wb,"(2, 3)",2,False,100000,1.0,balanced,9187,0.8715843611056326
False,char_wb,"(2, 3)",2,True,100000,1.0,balanced,9187,0.8699061063088096
False,char_wb,"(2, 3)",2,True,0,1.0,balanced,9187,0.8699061063088096
True,char,"(2, 3)",2,False,0,0.3,balanced,9626,0.8642768564960931
True,char,"(2, 3)",2,False,100000,0.3,balanced,9626,0.8642768564960931
True,char_wb,"(2, 5)",2,False,0,0.3,balanced,14348,0.8633982716071443
True,char_wb,"(2, 5)",2,True,100000,0.3,balanced,14348,0.8633982716071443
True,char_wb,"(2, 5)",2,True,0,0.3,balanced,14348,0.8633982716071443
True,char_wb,"(2, 5)",2,False,100000,0.3,balanced,14348,0.8633982716071443
False,char,"(2, 3)",2,True,0,1.0,balanced,10526,0.8631084564672034
False,char,"(2, 3)",2,True,100000,1.0,balanced,10526,0.8631084564672034
True,char_wb,"(2, 5)",3,False,0,0.3,balanced,7943,0.8611980039525382
True,char_wb,"(2, 5)",3,False,100000,0.3,balanced,7943,0.8611980039525382
True,char_wb,"(2, 4)",3,False,0,1.0,balanced,6929,0.8608972479560459
True,char_wb,"(2, 4)",3,False,100000,1.0,balanced,6929,0.8608972479560459
True,char_wb,"(2, 4)",2,False,100000,0.3,balanced,12057,0.8593279465081416
True,char_wb,"(2, 4)",2,False,0,0.3,balanced,12057,0.8593279465081416
True,char_wb,"(2, 3)",2,True,100000,1.0,balanced,8406,0.8588549194827686
True,char_wb,"(2, 3)",2,True,0,1.0,balanced,8406,0.8588549194827686
True,char_wb,"(2, 4)",3,True,100000,1.0,balanced,6929,0.8586552181777753
True,char_wb,"(2, 4)",3,True,0,1.0,balanced,6929,0.8586552181777753
True,char_wb,"(2, 5)",3,True,100000,0.3,balanced,7943,0.8585560575819683
True,char_wb,"(2, 5)",3,True,0,0.3,balanced,7943,0.8585560575819683
True,char_wb,"(2, 3)",3,False,0,1.0,balanced,5165,0.8580739508481123
True,char_wb,"(2, 3)",3,False,100000,1.0,balanced,5165,0.8580739508481123
True,char_wb,"(2, 3)",2,False,0,1.0,balanced,8406,0.8579195441022441
True,char_wb,"(2, 3)",2,False,100000,1.0,balanced,8406,0.8579195441022441
True,char,"(2, 3)",2,True,0,1.0,balanced,9626,0.8577091332197203
True,char,"(2, 3)",2,True,100000,1.0,balanced,9626,0.8577091332197203
True,char,"(2, 3)",2,False,0,1.0,balanced,9626,0.8575996598144062
True,char,"(2, 3)",2,False,100000,1.0,balanced,9626,0.8575996598144062
True,char_wb,"(2, 5)",2,False,100000,1.0,balanced,14348,0.8569100064764874
True,char_wb,"(2, 5)",2,False,0,1.0,balanced,14348,0.8569100064764874
True,char_wb,"(2, 4)",2,False,100000,1.0,balanced,12057,0.8569100064764874
