bid_id,title,biz_div,title_len,tag,norm,llm,tfidf
R26BK01602718_000,제주대학교 의과대학 모듈러 교사 제작·설치 및 임차 용역,servc,31,기타,제주대학교 의과대학 모듈러 교사 제작 설치 및 임차 용역,기타,기타
R26BK01293507_000,[소비안전과] 2026년 농산물 중 생물독소류 모니터링 위탁사업,servc,35,기타,농산물 중 생물독소류 모니터링 위탁사업,조사·연구,조사·연구
R26BK01606659_000,2026년 공공 재해복구시스템(DR) 구축 ISP 사업(6차),servc,34,IT시스템,공공 재해복구시스템 DR 구축 ISP 사업,IT시스템,IT시스템
R26BK01633665_000,서울과학기술대학교 생성형 AI 기반 지능형 서비스 플랫폼 구축,servc,34,IT시스템,서울과학기술대학교 생성형 AI 기반 지능형 서비스 플랫폼 구축,IT시스템,IT시스템
R26BK01421628_000,한국아동 성장 발달 종단연구 2026,servc,20,조사·연구,한국아동 성장 발달 종단연구,조사·연구,조사·연구
R26BK01653130_000,2026년 행정업무용 컴퓨터 임차용역,servc,20,IT시스템,행정업무용 컴퓨터 임차용역,운송·차량임차,IT시스템
R26BK01287863_000,2026년 소상공인시장 경기동향(BSI) 조사,servc,25,조사·연구,소상공인시장 경기동향 BSI 조사,조사·연구,조사·연구
R26BK01554089_000,2026년 공유재산 실태조사 사업(영남권역),servc,24,기타,공유재산 실태조사 사업 영남권역,조사·연구,기타
R26BK01385661_000,2026년 안성시 비전자기록물 전수조사 및 이관 용역,servc,29,IT시스템,안성시 비전자기록물 전수조사 및 이관 용역,조사·연구,IT시스템
R26BK01357434_000,2026년 수산기술 동영상 및 숏폼 제작,servc,22,홍보·콘텐츠,수산기술 동영상 및 숏폼 제작,홍보·콘텐츠,홍보·콘텐츠
R26BK01313294_000,차세대 생활법령정보시스템 구축(1차) 사업 조달 계약,servc,29,IT시스템,차세대 생활법령정보시스템 구축 사업 조달 계약,IT시스템,IT시스템
R26BK01363242_000,2026 세계한민족여성네트워크(KOWIN) 대회,servc,26,행사·전시대행,세계한민족여성네트워크 KOWIN 대회,행사·전시대행,행사·전시대행
