bid_id,title,biz_div,title_len,tag,norm,llm,tfidf
R26BK01374208_000,북면물재생센터 증설공사(3단계)(4차분) 관급자재-역세펌프,thng,32,공조·냉난방,북면물재생센터 증설공사 3단계 관급자재 역세펌프,환경·수처리설비,공조·냉난방
R26BK01430628_000,"우수조달물품(2025069, 사무실칸막이) 제3자단가계약",thng,31,가구·침구,우수조달물품 069 사무실칸막이 제3자단가계약,가구·침구,가구·침구
R26BK01346937_000,"중앙공원 자동제어반(계장제어장치) 제작, 구매설치",thng,27,전기·수배전,중앙공원 자동제어반 계장제어장치 제작 구매설치,전기·수배전,전기·수배전
R26BK01619574_000,대학로예술극장 대극장 음향장비 구매 및 인프라 개선,thng,28,기타,대학로예술극장 대극장 음향장비 구매 및 인프라 개선,IT·통신장비,기타
R26BK01503081_000,대학본부 전화교환기,thng,10,IT·통신장비,대학본부 전화교환기,IT·통신장비,IT·통신장비
R26BK01508769_000,달천 고성지구 하천정비사업(3차) 잡석,thng,21,토목·건설자재,달천 고성지구 하천정비사업 잡석,토목·건설자재,토목·건설자재
R26BK01424769_000,MW급 MCS 충전커플러 케이블 어셈블리 성능평가 장치,thng,30,발전·전지,MW급 MCS 충전커플러 케이블 어셈블리 성능평가 장치,전기·수배전,발전·전지
R26BK01599444_000,2026년도 선거기록관 보존·복원 인프라 구축 사업,thng,28,산업·정밀기계,도 선거기록관 보존 복원 인프라 구축 사업,기타,IT·통신장비
R26BK01413310_000,강서구 통합신청사 건립공사(통신공사) 관급자재 무선 네트워크 장비 구매 설치,thng,42,IT·통신장비,강서구 통합신청사 건립공사 통신공사 관급자재 무선 네트워크 장비 구매 설치,IT·통신장비,IT·통신장비
R26BK01565806_000,서해안 우회도로 건설공사(5차년도) 관급자재(순환아스콘) 구매(1차),thng,38,토목·건설자재,서해안 우회도로 건설공사 년도 관급자재 순환아스콘 구매,토목·건설자재,토목·건설자재
R26BK01427804_000,국도31호선 양구-원통 도로건설공사(9차) 관급자재(1회)-혼합골재 1종총액,thng,42,토목·건설자재,국도31호선 양구 원통 도로건설공사 관급자재 1회 혼합골재 1종총액,토목·건설자재,토목·건설자재
R26BK01599032_000,상주시 하수도정비 중점관리지역 도시침수 예방사업(2단계)-수중사류펌프,thng,38,공조·냉난방,상주시 하수도정비 중점관리지역 도시침수 예방사업 2단계 수중사류펌프,공조·냉난방,공조·냉난방
R26BK01324785_000,"국립부경대학교 공과대학 실험실습기자재(콘칼로리미터 시스템) 구매(특이소요, 신규)",thng,45,실험·분석장비,국립부경대학교 공과대학 실험실습기자재 콘칼로리미터 시스템 구매 특이소요 신규,실험·분석장비,실험·분석장비
R26BK01632413_000,중부산세무서 청사신축 관급자재(냉난방기),thng,22,공조·냉난방,중부산세무서 청사신축 관급자재 냉난방기,공조·냉난방,공조·냉난방
R26BK01488873_000,26년 공군 총기보관함 2종 제조,thng,18,가구·침구,공군 총기보관함 2종 제조,가구·침구,가구·침구
20160918163_025,남성용셔츠외 10종,thng,10,피복·군장품,남성용셔츠외 10종,피복·군장품,피복·군장품
R26BK01477944_000,2026년 제주대학교(해양과학대학) 실험실습기자재 음향분석기 등 7종 구매,thng,41,실험·분석장비,제주대학교 해양과학대학 실험실습기자재 음향분석기 등 7종 구매,실험·분석장비,실험·분석장비
R26BK01516280_000,2026년도 실험실습기자재 확충사업 [유세포 분석기] 구입,thng,32,실험·분석장비,도 실험실습기자재 확충사업 구입,실험·분석장비,실험·분석장비
R26BK01516232_000,용접부 초음파 숏피닝 장비,thng,14,산업·정밀기계,용접부 초음파 숏피닝 장비,산업·정밀기계,실험·분석장비
R26BK01604796_000,슬라이드스캐너 조달 계약 요청,thng,16,IT·통신장비,슬라이드스캐너 조달 계약 요청,실험·분석장비,IT·통신장비
R26BK01543301_000,SW 3자단가(내풀로 CMS v1.0 내풀로스 주식회사),thng,31,IT·통신장비,SW 3자단가 내풀로 CMS v1 0 내풀로스 주식회사,발전·전지,IT·통신장비
R26BK01451077_000,26-27년 오토바이(647CC) 구매,thng,21,차량·건설장비,26 오토바이 647CC 구매,차량·건설장비,차량·건설장비
R26BK01386851_000,구)동원탄좌 폐경석 사면보강 공사 관급자재(강관파일) 구매,thng,32,토목·건설자재,구 동원탄좌 폐경석 사면보강 공사 관급자재 강관파일 구매,토목·건설자재,토목·건설자재
R26BK01475995_000,남양주다산우체국 조명·전열제어 제작 및 설치,thng,24,전기·수배전,남양주다산우체국 조명 전열제어 제작 및 설치,전기·수배전,전기·수배전
R26BK01447233_000,"관급자재 구매(남일-금산,혼합골재 총액)",thng,22,토목·건설자재,관급자재 구매 남일 금산 혼합골재 총액,토목·건설자재,토목·건설자재
R26BK01481013_000,의왕월암 A-1BL아파트 소방시설공사 1공구-소방용방재장치,thng,32,안전·보안장비,의왕월암 A 1BL아파트 소방시설공사 1공구 소방용방재장치,안전·보안장비,안전·보안장비
R26BK01630386_000,수중안전등 제조,thng,8,전기·수배전,수중안전등 제조,안전·보안장비,전기·수배전
