분류기,표현순위,입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,설정,CV_MacroF1,CV_std
LogReg(다항),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 30.0, 'class_weight': 'balanced'}",0.827577281565155,0.030347991980813952
LogReg(다항),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 30.0, 'class_weight': 'balanced'}",0.827577281565155,0.030347991980813952
LogReg(다항),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 90.0, 'class_weight': 'balanced'}",0.8257825276695531,0.029570520739380327
LogReg(OvR),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 30.0, 'class_weight': 'balanced'}",0.8226252976151256,0.03414417149385793
LogReg(OvR),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 30.0, 'class_weight': 'balanced'}",0.8226252976151256,0.03414417149385793
LinearSVC,1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8220860827177502,0.029305672278783886
LinearSVC,2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8220860827177502,0.029305672278783886
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8216967092489462,0.021493434619936982
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8216967092489462,0.021493434619936982
LinearSVC,3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8214394895098908,0.0267977312640625
LinearSVC,4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8214394895098908,0.0267977312640625
LogReg(다항),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8212057337254308,0.03158251573908839
LogReg(다항),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8212057337254308,0.03158251573908839
LinearSVC,4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8201906732598413,0.026568349071598916
LinearSVC,3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8201906732598413,0.026568349071598916
LinearSVC,2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8199214940321738,0.02636120274757781
LinearSVC,1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8199214940321738,0.02636120274757781
