표현순위,축소,설정,CV_MacroF1,CV_std
1,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8220860827177502,0.029305672278783886
1,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7423195719208137,0.025078281873456093
1,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7910349868437054,0.033157452442369305
1,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8009520857698194,0.015617025760376092
1,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8178248090335403,0.02572708982949176
1,L1,C=0.3,0.7385682073589632,0.028909448245416015
1,L1,C=1.0,0.810119501481176,0.03258100641986238
1,L1,C=3.0,0.8111725840364024,0.031267252264384274
2,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8220860827177502,0.029305672278783886
2,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7423195719208137,0.025078281873456093
2,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7910349868437054,0.033157452442369305
2,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8009520857698194,0.015617025760376092
2,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8178248090335403,0.02572708982949176
2,L1,C=0.3,0.7385682073589632,0.028909448245416015
2,L1,C=1.0,0.810119501481176,0.03258100641986238
2,L1,C=3.0,0.8111725840364024,0.031267252264384274
3,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8214394895098908,0.0267977312640625
3,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7457358553757412,0.027671939898550848
3,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7931292411897715,0.03328350709326375
3,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.801327908864738,0.01670653213175197
3,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8153325144304432,0.027567653136466946
3,L1,C=0.3,0.7354883100276254,0.03285947637378631
3,L1,C=1.0,0.8115300087150523,0.03298797102166818
3,L1,C=3.0,0.808825317606326,0.028511612053127237
4,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8214394895098908,0.0267977312640625
4,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7457358553757412,0.027671939898550848
4,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7931292411897715,0.03328350709326375
4,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.801327908864738,0.01670653213175197
4,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8153325144304432,0.027567653136466946
4,L1,C=0.3,0.7354883100276254,0.03285947637378631
4,L1,C=1.0,0.8115300087150523,0.03298797102166818
4,L1,C=3.0,0.808825317606326,0.028511612053127237
5,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8177952965001436,0.028494622604509186
5,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7249888220300419,0.038751285459761635
5,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7919984107944839,0.028879162908473647
5,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8011959378518038,0.027135858191500422
5,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8121955740673339,0.029388877795246803
5,L1,C=0.3,0.7290089685912904,0.02020062426148622
5,L1,C=1.0,0.812848857603294,0.03289579802103527
5,L1,C=3.0,0.8066613886764203,0.029013228729769972
6,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8177952965001436,0.028494622604509186
6,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7249888220300419,0.038751285459761635
6,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7919984107944839,0.028879162908473647
6,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8011959378518038,0.027135858191500422
6,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8121955740673339,0.029388877795246803
6,L1,C=0.3,0.7290089685912904,0.02020062426148622
6,L1,C=1.0,0.812848857603294,0.03289579802103527
6,L1,C=3.0,0.8066613886764203,0.029013228729769972
7,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8175261015724449,0.029277677993386486
7,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7367689834707646,0.027234788022351245
7,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7919352167136704,0.032957812740708574
7,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.802311276534498,0.02746539898923215
7,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8109753758175999,0.024354760364692498
7,L1,C=0.3,0.7400705855649241,0.022411926219264782
7,L1,C=1.0,0.8018202179635765,0.03446283272563951
7,L1,C=3.0,0.8116655493188532,0.024542488210996728
8,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8175261015724449,0.029277677993386486
8,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7367689834707646,0.027234788022351245
8,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7919352167136704,0.032957812740708574
8,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.802311276534498,0.02746539898923215
8,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8109753758175999,0.024354760364692498
8,L1,C=0.3,0.7400705855649241,0.022411926219264782
8,L1,C=1.0,0.8018202179635765,0.03446283272563951
8,L1,C=3.0,0.8116655493188532,0.024542488210996728
9,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8170056495724671,0.022337367019383523
9,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7607131059259491,0.033380661215178936
9,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7941970898555317,0.03184172507000506
9,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8073648590145531,0.01928377577120194
9,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8144274545864967,0.015046869767569864
9,L1,C=0.3,0.7418121730002393,0.02662359420362021
9,L1,C=1.0,0.8104117725666977,0.029148215428597087
9,L1,C=3.0,0.813049877151222,0.02325840369706669
10,없음,"{'C': 1.0, 'class_weight': 'balanced'}",0.8170056495724671,0.022337367019383523
10,SVD-100,"{'C': 1.0, 'class_weight': 'balanced'}",0.7607131059259491,0.033380661215178936
10,SVD-300,"{'C': 1.0, 'class_weight': 'balanced'}",0.7941970898555317,0.03184172507000506
10,chi2-2000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8073648590145531,0.01928377577120194
10,chi2-5000,"{'C': 1.0, 'class_weight': 'balanced'}",0.8144274545864967,0.015046869767569864
10,L1,C=0.3,0.7418121730002393,0.02662359420362021
10,L1,C=1.0,0.8104117725666977,0.029148215428597087
10,L1,C=3.0,0.813049877151222,0.02325840369706669
