입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,CV_MacroF1,CV_std
title,char_wb,"(2, 3)",3,1.0,True,True,0.8220860827177502,0.029305672278783886
title,char_wb,"(2, 3)",3,0.9,True,True,0.8220860827177502,0.029305672278783886
title,char_wb,"(2, 3)",3,0.9,False,True,0.8214394895098908,0.0267977312640625
title,char_wb,"(2, 3)",3,1.0,False,True,0.8214394895098908,0.0267977312640625
title,char_wb,"(2, 3)",1,0.9,False,False,0.8177952965001436,0.028494622604509186
title,char_wb,"(2, 3)",1,1.0,False,False,0.8177952965001436,0.028494622604509186
title,char,"(2, 3)",1,0.9,True,False,0.8175261015724449,0.029277677993386486
title,char,"(2, 3)",1,1.0,True,False,0.8175261015724449,0.029277677993386486
title,char,"(2, 3)",3,1.0,True,True,0.8170056495724671,0.022337367019383523
title,char,"(2, 3)",3,0.9,True,True,0.8170056495724671,0.022337367019383523
title,char,"(2, 4)",1,0.9,False,True,0.8166863069761146,0.026035859297449376
title,char,"(2, 4)",1,1.0,False,True,0.8166863069761146,0.026035859297449376
title,char,"(2, 3)",3,0.9,False,True,0.8162219080052135,0.02184803239399212
title,char,"(2, 3)",3,1.0,False,True,0.8162219080052135,0.02184803239399212
title,char_wb,"(2, 3)",3,1.0,False,False,0.8161533542116235,0.02902995646965097
title,char_wb,"(2, 3)",3,0.9,False,False,0.8161533542116235,0.02902995646965097
title,char,"(2, 3)",1,0.9,True,True,0.8161155824999385,0.018789859307497585
title,char,"(2, 3)",1,1.0,True,True,0.8161155824999385,0.018789859307497585
title,char_wb,"(2, 3)",1,1.0,True,False,0.8159030647610264,0.027724858548961184
title,char_wb,"(2, 3)",1,0.9,True,False,0.8159030647610264,0.027724858548961184
title,char,"(2, 3)",3,0.9,False,False,0.8158510299252093,0.021197585579465907
title,char,"(2, 3)",3,1.0,False,False,0.8158510299252093,0.021197585579465907
title,char,"(2, 4)",1,0.9,True,True,0.8155788257240296,0.025947713265603713
title,char,"(2, 4)",1,1.0,True,True,0.8155788257240296,0.025947713265603713
title,char,"(2, 3)",1,1.0,False,False,0.8155302613010745,0.030761570075871127
title,char,"(2, 3)",1,0.9,False,False,0.8155302613010745,0.030761570075871127
title,char,"(2, 4)",1,1.0,True,False,0.8154130498069811,0.019681695701737625
title,char,"(2, 4)",1,0.9,True,False,0.8154130498069811,0.019681695701737625
title,char_wb,"(2, 3)",3,0.9,True,False,0.8153793977904342,0.027937691295724956
title,char_wb,"(2, 3)",3,1.0,True,False,0.8153793977904342,0.027937691295724956
title,char,"(2, 3)",3,1.0,True,False,0.8152802200820364,0.02135487486750223
title,char,"(2, 3)",3,0.9,True,False,0.8152802200820364,0.02135487486750223
title,char,"(2, 4)",2,1.0,True,True,0.8150313558107258,0.019577399183418425
title,char,"(2, 4)",2,0.9,True,True,0.8150313558107258,0.019577399183418425
title,char,"(2, 4)",1,0.9,False,False,0.8146964151613425,0.01967465811797175
title,char,"(2, 4)",1,1.0,False,False,0.8146964151613425,0.01967465811797175
title,char,"(2, 4)",2,0.9,False,True,0.8144686648903626,0.01980085870690749
title,char,"(2, 4)",2,1.0,False,True,0.8144686648903626,0.01980085870690749
title,char_wb,"(2, 3)",2,1.0,False,False,0.8144421773680225,0.025928811663881918
title,char_wb,"(2, 3)",2,0.9,False,False,0.8144421773680225,0.025928811663881918
title,char_wb,"(2, 3)",2,0.9,True,False,0.814107766181999,0.026790372790364954
title,char_wb,"(2, 3)",2,1.0,True,False,0.814107766181999,0.026790372790364954
title,char,"(2, 5)",1,1.0,True,False,0.8137805953213361,0.020092274472845305
title,char,"(2, 5)",1,0.9,True,False,0.8137805953213361,0.020092274472845305
title,char,"(2, 5)",1,1.0,False,False,0.8135385565417712,0.020522414992939275
title,char,"(2, 5)",1,0.9,False,False,0.8135385565417712,0.020522414992939275
title,char,"(2, 3)",2,1.0,False,False,0.8131348885461975,0.02541420052744456
title,char,"(2, 3)",2,0.9,False,False,0.8131348885461975,0.02541420052744456
title,char,"(2, 3)",2,0.9,True,False,0.8128533569191635,0.02580139201670548
title,char,"(2, 3)",2,1.0,True,False,0.8128533569191635,0.02580139201670548
title,char_wb,"(2, 4)",3,1.0,True,True,0.8125788251598965,0.024434627682268836
title,char_wb,"(2, 4)",3,0.9,True,True,0.8125788251598965,0.024434627682268836
